Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
1,CA-2013-ORD65853,01/01/2016,01/02/2016,Same Day,CUST-7114,Alice Smith,Home Office,,Austin,California,United States,East,USCA,PROD-7387,Office Supplies,Phones,Product B,1261.51,8,0.3,417.66,199.9,Low
2,CA-2016-ORD31120,01/02/2016,01/03/2016,Same Day,CUST-4486,Alice Smith,Corporate,,Chicago,Illinois,United States,West,USCA,PROD-7876,Technology,Tables,Product A,3424.74,8,0.2,40.2,61.46,High
3,CA-2014-ORD37245,01/03/2016,01/04/2016,First Class,CUST-2668,Diana Ross,Home Office,12345.0,New York,Texas,United States,Central,USCA,PROD-7263,Technology,Tables,Product C,4402.12,1,0.3,-384.38,181.89,High
4,CA-2013-ORD99121,01/04/2016,01/05/2016,Standard Class,CUST-2632,Alice Smith,Home Office,12345.0,Austin,New York,United States,South,USCA,PROD-5329,Technology,Chairs,Product A,3223.15,9,0.2,-450.14,75.91,Medium
5,CA-2013-ORD52286,01/05/2016,01/06/2016,Standard Class,CUST-4761,Bob Johnson,Corporate,34567.0,Austin,California,United States,South,USCA,PROD-4844,Office Supplies,Phones,Product A,4281.81,7,0.2,240.21,69.09,Low
6,CA-2013-ORD82332,01/06/2016,01/07/2016,First Class,CUST-6055,Charlie Brown,Home Office,,Chicago,New York,United States,West,USCA,PROD-8501,Technology,Binders,Product A,1905.13,1,0.2,-135.08,163.84,High
7,CA-2013-ORD14361,01/07/2016,01/08/2016,Same Day,CUST-1334,Alice Smith,Consumer,12345.0,New York,Illinois,United States,East,USCA,PROD-5074,Technology,Tables,Product A,1536.33,8,0.3,-16.66,27.3,Critical
8,CA-2015-ORD89449,01/08/2016,01/09/2016,Second Class,CUST-5502,Diana Ross,Consumer,34567.0,Austin,California,United States,Central,USCA,PROD-7733,Office Supplies,Chairs,Product A,1895.86,7,0.0,353.62,138.03,Low
9,CA-2015-ORD11577,01/09/2016,01/10/2016,Same Day,CUST-2836,Alice Smith,Corporate,,New York,Illinois,United States,Central,USCA,PROD-9315,Furniture,Phones,Product A,4801.41,1,0.2,-473.16,99.09,High
10,CA-2013-ORD32356,01/10/2016,01/11/2016,Second Class,CUST-4017,Bob Johnson,Corporate,23456.0,San Francisco,Illinois,United States,East,USCA,PROD-6393,Technology,Binders,Product B,1382.22,6,0.1,-356.46,7.54,Medium
